,Team,Abbreviation,GA/GP,pGA/GP,pxGA/GP,Agg GA/GP,Normalized GA/GP
0,Chicago Blackhawks,CHI,3.4015021324157715,2.8949787124423194,2.7733683046146105,3.295533849994599,3.8374193677774597
1,Detroit Red Wings,DET,3.399184465408325,3.0337927354416223,2.955719536935238,3.3235141808341413,3.8994195310239905
2,Anaheim Ducks,ANA,3.3201372623443604,2.8864555251740933,2.8072742118571856,3.2314032272166573,3.695315648413465
3,St Louis Blues,STL,3.291724920272827,2.973050670705914,2.8427600189080255,3.220753560711283,3.671717605000726
4,Ottawa Senators,OTT,3.2656712532043457,2.9194625146082993,2.791866682344028,3.1896839262899555,3.6028720142470236
5,Tampa Bay Lightning,TBL,3.256929397583008,2.8672261222978515,2.816410555841362,3.1788205299623096,3.578800378011259
6,Edmonton Oilers,EDM,3.2514402866363525,2.933785053637591,2.8660900447904973,3.1856701916588204,3.5939781879450505
7,Montreal Canadiens,MTL,3.234076499938965,2.94326757877628,2.857851929915179,3.1719895530091664,3.5636639706307705
8,Arizona Coyotes,UTA,3.2096879482269287,2.961126638174718,2.902424301807076,3.1577651124075974,3.5321447707883755
9,San Jose Sharks,SJS,3.1869542598724365,3.001446215236775,2.8528207580243135,3.1398176948146643,3.492376019410963
10,New York Islanders,NYI,3.1826021671295166,2.975404292355208,2.941843165532614,3.1405496807765907,3.493997989122253
11,Buffalo Sabres,BUF,3.154114007949829,2.8252483008572815,2.7741368903961217,3.0875406107653527,3.3765379414519487
12,Washington Capitals,WSH,3.1380035877227783,2.8514865597932695,2.770286338866684,3.077069334742045,3.353335184251985
13,New Jersey Devils,NJD,3.1292850971221924,2.8424140462717893,2.698622117195613,3.063276243134522,3.322771788263392
14,Columbus Blue Jackets,CBJ,3.1288774013519287,2.9914165251427294,2.928663782515211,3.09773961546198,3.3991373867469052
15,Vegas Golden Knights,VGK,3.0619757175445557,2.8471303300520243,2.7891315556843783,3.0165151919715627,3.2191564013579
16,Colorado Avalanche,COL,3.0447380542755127,2.8794940475605406,2.820620430037806,3.0086318035978494,3.2016880101187484
17,Pittsburgh Penguins,PIT,3.001084327697754,2.898964592699729,2.7771987007163172,2.9719403066894565,3.1203852259906557
18,Toronto Maple Leafs,TOR,2.992863178253174,2.898044524286337,2.8048780965989653,2.9673943197844856,3.110312009492927
19,Vancouver Canucks,VAN,2.9892706871032715,2.803774861886802,2.7506925422279562,2.949779894739435,3.0712811190238427
20,Nashville Predators,NSH,2.897174119949341,2.9804462633768116,2.911426070308944,2.907474211755131,2.9775381512825176
21,Seattle Kraken,SEA,2.8964719772338867,2.6838116260297604,2.6129655974732438,2.8503988282205817,2.8510677704713134
22,Dallas Stars,DAL,2.886638879776001,2.7306383473423814,2.7179693269529523,2.855985256982459,2.8634464480926667
23,Calgary Flames,CGY,2.884450912475586,2.784967890362365,2.6709593902965896,2.856428458268812,2.8644285148259927
24,New York Rangers,NYR,2.880603790283203,2.8347814791728543,2.78832185880852,2.8681807815430904,2.8904698781576057
25,Minnesota Wild,MIN,2.851449728012085,2.7919249716038035,2.7028325086571527,2.8330126272587797,2.8125425899060668
26,Winnipeg Jets,WPG,2.8493969440460205,2.8387030295490967,2.7231756650681884,2.8381229111331328,2.823866202777657
27,Philadelphia Flyers,PHI,2.7584731578826904,2.873849128486508,2.8123250936268573,2.7754726695086434,2.6850427831966592
28,Los Angeles Kings,LAK,2.7544140815734863,2.8128559253217666,2.743668011902733,2.759982998812137,2.6507200256379386
29,Boston Bruins,BOS,2.7002930641174316,2.856102005692167,2.7495447569163245,2.7213721831145636,2.565164322595708
30,Carolina Hurricanes,CAR,2.6631522178649902,2.83628868524082,2.596864164000362,2.6768941849671615,2.4666078344029145
31,Florida Panthers,FLA,2.510277271270752,2.789338124790008,2.7774755129940045,2.5623498244957306,2.212794929583297
