,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20122013/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_20002001-20122013_light.svg,ryansuter,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
1,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20122013/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,erikkarlsson,33,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
2,8466285,Brian Campbell,FLA,D,https://assets.nhle.com/mugs/nhl/20122013/FLA/8466285.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,briancampbell,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
3,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20122013/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,drewdoughty,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
4,8471677,Jack Johnson,CBJ,D,https://assets.nhle.com/mugs/nhl/20122013/CBJ/8471677.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,jackjohnson,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
5,8470642,Shea Weber,NSH,D,https://assets.nhle.com/mugs/nhl/20122013/NSH/8470642.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,sheaweber,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
6,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20122013/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,krisletang,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
7,8471958,Dan Girardi,NYR,D,https://assets.nhle.com/mugs/nhl/20122013/NYR/8471958.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,dangirardi,39,1984-04-29,Welland,ON,CAN,CAN,73,212,-,-,-,-,-
8,8468542,Paul Martin,PIT,D,https://assets.nhle.com/mugs/nhl/20122013/PIT/8468542.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,paulmartin,42,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
9,8469555,Christian Ehrhoff,BUF,D,https://assets.nhle.com/mugs/nhl/20122013/BUF/8469555.png,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,christianehrhoff,41,1982-07-06,Moers,,DEU,DEU,74,201,2001,S.J,4,10,106
