,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Marc-Andre Fleury,MIN,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
1,Jonathan Quick,NYR,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
2,James Reimer,"ANA, BUF",G,36,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
3,Semyon Varlamov,NYI,G,36,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
4,Jacob Markstrom,N.J,G,34,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
5,Jake Allen,N.J,G,34,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
6,Dustin Tokarski,CAR,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
7,Darcy Kuemper,L.A,G,34,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
8,Cam Talbot,DET,G,37,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
9,Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
10,Calvin Pickard,EDM,G,32,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
11,Scott Wedgewood,"COL, NSH",G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
12,Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
13,Louis Domingue,NYR,G,32,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
14,Petr Mrazek,CHI,G,32,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
15,Frederik Andersen,CAR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
16,Anton Forsberg,OTT,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
17,Jordan Binnington,STL,G,31,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
18,John Gibson,ANA,G,31,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
19,Andrei Vasilevskiy,T.B,G,30,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
20,Matt Murray,TOR,G,30,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
21,Joonas Korpisalo,BOS,G,30,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
22,Anthony Stolarz,TOR,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
23,Connor Hellebuyck,WPG,G,31,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
