,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Jonathan Quick,NYR,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
1,Jacob Markstrom,N.J,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
2,Jake Allen,N.J,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
3,Darcy Kuemper,L.A,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
4,Cam Talbot,DET,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
5,Sergei Bobrovsky,FLA,G,37,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
6,Calvin Pickard,EDM,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
7,Scott Wedgewood,COL,G,33,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
8,Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
9,Petr Mrazek,ANA,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
10,Frederik Andersen,CAR,G,36,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
11,Anton Forsberg,L.A,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
12,Jordan Binnington,STL,G,32,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
13,John Gibson,DET,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
14,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
15,Matt Murray,SEA,G,31,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
16,Joonas Korpisalo,BOS,G,31,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
17,Anthony Stolarz,TOR,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
